match_id,versus,bowling_team,bowler,overs,maidens,runs_given,wickets,economy,zeros,fours_given,sixes_given,wides,noballs
5,Afghanistan vs Uganda,Uganda,Henry Ssenyondo,2,0,19,0,9.50,4,0,2,1,0
5,Afghanistan vs Uganda,Uganda,Riazat Ali Shah,1,0,11,0,11.00,1,1,0,0,0
5,Afghanistan vs Uganda,Uganda,Brian Masaba,4,0,21,2,5.25,8,0,0,0,0
5,Afghanistan vs Uganda,Afghanistan,Fazalhaq Farooqi,4,0,9,5,2.25,18,1,0,0,0
5,Afghanistan vs Uganda,Afghanistan,Mujeeb Ur Rahman,3,0,16,1,5.33,13,2,0,1,0
5,Afghanistan vs Uganda,Afghanistan,Naveen-ul-Haq,2,0,4,2,2.00,9,0,0,1,0
5,Afghanistan vs Uganda,Afghanistan,Azmatullah Omarzai,2,0,7,0,3.50,8,0,0,1,0
5,Afghanistan vs Uganda,Afghanistan,Rashid Khan,4,0,12,2,3.00,16,1,0,0,0
5,Afghanistan vs Uganda,Afghanistan,Mohammad Nabi,1,0,8,0,8.00,3,0,1,0,0
6,Scotland vs England,NULL,Mark Wood,2,0,11,0,5.50,7,1,0,1,1
6,Scotland vs England,NULL,Jofra Archer,2,0,12,0,6.00,6,1,0,0,0
6,Scotland vs England,NULL,Moeen Ali,2,0,15,0,7.50,3,2,0,0,0
6,Scotland vs England,NULL,Chris Jordan,2,0,24,0,12.00,5,2,2,0,0
6,Scotland vs England,NULL,Adil Rashid,2,0,26,0,13.00,2,2,2,0,0
7,Nepal vs Netherlands,Netherlands,Vivian Kingma,4,0,23,0,5.75,15,4,0,2,0
7,Nepal vs Netherlands,Netherlands,Tim Pringle,4,0,20,3,5.00,13,1,1,0,0
7,Nepal vs Netherlands,Netherlands,Logan van Beek,3.2,0,18,3,5.40,14,2,1,0,0
7,Nepal vs Netherlands,Netherlands,Paul van Meekeren,4,0,19,2,4.75,12,2,0,1,0
7,Nepal vs Netherlands,Netherlands,Bas de Leede,4,1,22,2,5.50,12,1,1,1,0
7,Nepal vs Netherlands,Nepal,Karan KC,3,0,17,0,5.66,10,3,0,0,0
7,Nepal vs Netherlands,Nepal,Sompal Kami,4,0,18,1,4.50,12,2,0,0,0
7,Nepal vs Netherlands,Nepal,Gulsan Jha,2,0,17,0,8.50,2,2,0,0,1
7,Nepal vs Netherlands,Nepal,Dipendra Singh Airee,2,0,6,1,3.00,7,0,0,0,0
7,Nepal vs Netherlands,Nepal,Abinash Bohara,3.4,0,29,1,7.90,5,2,1,0,0
7,Nepal vs Netherlands,Nepal,Sagar Dhakal,4,0,21,0,5.25,8,1,0,0,0
8,Ireland vs India,India,Arshdeep Singh,4,0,35,2,8.75,14,3,1,5,1
8,Ireland vs India,India,Mohammed Siraj,3,0,13,1,4.33,14,2,0,0,0
8,Ireland vs India,India,Jasprit Bumrah,3,1,6,2,2.00,13,0,0,0,0
8,Ireland vs India,India,Hardik Pandya,4,1,27,3,6.75,14,2,2,0,0
8,Ireland vs India,India,Axar Patel,1,0,3,1,3.00,3,0,0,0,0
